"entity_name","team_abbr","level","parent_org","total_vs_expected","net_for","net_against","n_challenges","n_overturns","n_confirms","rate_overturns","exp_chal","exp_chal_gained","exp_chal_lost","exp_rate_overturns","net_chal_gained","net_chal_lost","n_strikeouts_flip","n_walks_flip","exp_rate_challenges","exp_rate_challenges_diff","n_challenges_against","n_overturns_against","n_confirms_against","rate_overturns_against","exp_chal_against","exp_chal_gained_against","exp_chal_lost_against","exp_rate_overturns_against","net_chal_gained_against","net_chal_lost_against","n_strikeouts_flip_against","n_walks_flip_against","exp_rate_challenges_against","exp_rate_challenges_diff_against"
"Bryant Betancourt","COL","MLB","COL",2.216585978777799,1.64075485379145,-0.575831124986349,2,2,0,1,5.103105138790482,2.7311751424995165,2.3719299962909663,0.5351986816299161,-0.7311751424995163,-2.3719299962909663,0,0,0.038082874170078225,-0.02315750103574987,1,0,1,,5.33784052393885,2.4568358244625994,2.88100469947625,0.460267745625655,-2.4568358244625994,-1.8810046994762504,0,0,0.0675676015688462,-0.05490937372074493
"Logan O'Hoppe","LAA","MLB","LAA",-0.8603387062142611,1.6233197145111002,2.4836584207253614,12,9,3,0.75,17.001067377206624,10.688873831347768,6.312193545858867,0.6287178089581816,-1.688873831347766,-3.3121935458588663,2,2,0.023978938472787904,-0.0070536916462716846,4,1,3,0.25,10.47779994909614,2.9970707641853886,7.480729184910751,0.28604008272212994,-1.9970707641853889,-4.48072918491075,0,0,0.041578571226571985,-0.02570555535355611
"J.T. Realmuto","PHI","MLB","PHI",3.2577355870846265,1.5417468340042,-1.7159887530804268,6,5,1,0.8333333333333334,9.560771445038446,6.0095123055171245,3.551259139521324,0.628559352146814,-1.0095123055171247,-2.5512591395213247,3,2,0.027552655461205895,-0.010261589178785146,12,6,6,0.5,8.73016123591782,5.223074994499123,3.507086241418695,0.5982793276497843,0.7769250055008774,2.492913758581304,4,1,0.05046335974518971,0.018900802104521275
"Adley Rutschman","BAL","MLB","BAL",2.3260509244437806,1.53424291469506,-0.7918080097487208,5,3,2,0.6,7.049564361927137,3.2576607236160386,3.7919036383111,0.46210809014097615,-0.2576607236160393,-1.7919036383110993,0,0,0.01620589508488997,-0.004711642211326752,10,4,6,0.4,8.869717312620043,3.830762661184384,5.038954651435666,0.43189230571462345,0.16923733881561637,0.9610453485643371,1,1,0.05097538685413818,0.006495877513677912
"Kehden Hettiger","PHI","MLB","PHI",-0.04656037101985855,1.5325463499499719,1.5791067209698304,1,1,0,1,1.6673380775796907,0.5673958638148595,1.0999422137648314,0.34030042943569777,0.4326041361851405,-1.0999422137648314,0,0,0.01852597863977434,-0.00741486752866323,1,1,0,1,1.2422090210261045,0.33155115002813695,0.9106578709979675,0.266904477761935,0.668448849971863,-0.9106578709979675,0,0,0.05175870920942102,-0.010092042542754356
"Jhonny Pereda","SEA","MLB","SEA",-0.5876801468540223,1.5323837003631884,2.1200638472172106,11,8,3,0.7272727272727273,9.19469862401525,6.331157461826031,2.8635411621892186,0.6885660662427743,1.668842538173969,0.13645883781078075,3,1,0.026651300359464496,0.0052327576115499975,7,3,4,0.42857142857142855,8.51716678548675,2.6985514691347703,5.818615316351981,0.3168367530072443,0.30144853086522955,-1.8186153163519811,2,0,0.052901657052712735,-0.00942339618314752
"Leo Bernal","STL","MLB","STL",3.6774379629823417,1.488171496662953,-2.189266466319389,2,2,0,1,1.310038036639204,0.9109332699881256,0.3991047666510784,0.6953487185189301,1.0890667300118744,-0.3991047666510784,0,0,0.023393536368557212,0.012320749345728502,1,0,1,,1.8043165741021356,1.4967915202107624,0.3075250538913737,0.8295614759043025,-1.4967915202107624,0.6924749461086263,0,0,0.09021582870510678,-0.04021582870510678
"Jason Delay","BOS","MLB","BOS",3.569940609848124,1.4730531851286,-2.0968874247195237,4,3,1,0.75,4.1602920030991495,2.343619408985275,1.816672594113875,0.563330508348796,0.6563805910147249,-0.816672594113875,1,1,0.020801460015495748,-0.0008014600154957474,8,3,5,0.375,5.562284252303638,2.8295858385115804,2.7326984137920562,0.5087093197978327,0.17041416148841954,2.2673015862079433,1,0,0.0646777238639958,0.028345531949957693
"Chad Wallach","ATH","MLB","ATH",1.9150626369151258,1.4730058276746592,-0.44205680924046653,8,5,3,0.625,7.308868125367201,3.9179311488462716,3.390936976520931,0.5360516952341964,1.0820688511537282,-0.390936976520931,2,0,0.02947124244099678,0.0027868220751322524,3,1,2,0.3333333333333333,4.612085135113754,2.0270709721771105,2.585014162936644,0.43951291287842065,-1.0270709721771105,-0.585014162936644,0,0,0.055567290784503065,-0.019422712471250055
"Blake Mitchell","KC","MLB","KC",1.6394891119881807,1.4430337280294159,-0.19645538395876483,1,1,0,1,2.0927973148515737,0.824881793411079,1.267915521440495,0.3941527388043221,0.17511820658892102,-1.267915521440495,0,1,0.021575230050016225,-0.01126595169950076,4,2,2,0.5,2.4807367825444104,1.338596083251588,1.1421406992928236,0.5395961766965998,0.661403916748412,0.8578593007071769,2,0,0.08002376717885194,0.04900849088566418
"Dom Nunez","CLE","MLB","CLE",1.7188805294056868,1.4250390546894376,-0.2938414747162492,2,2,0,1,4.345328135854109,2.4601445405823346,1.8851835952717724,0.5661585186819899,-0.4601445405823348,-1.8851835952717724,1,1,0.020791043712220614,-0.011221665721789995,3,1,2,0.3333333333333333,2.8562624110965986,1.0750519429064238,1.7812104681901744,0.3763841650997611,-0.075051942906424,0.21878953180982522,0,0,0.03967031126523054,0.0019963554014361304
"Austin Barnes","NYM","MLB","NYM",-1.0016047780455875,1.40233516784612,2.4039399458917075,1,1,0,1,1.4333935752746032,0.5155292037142416,0.9178643715603615,0.3596564213813215,0.4844707962857584,-0.9178643715603615,1,0,0.0201886419052761,-0.00610413486302258,1,1,0,1,3.3612030133740323,0.9786315337411624,2.38257147963287,0.29115513994461034,0.02136846625883762,-2.38257147963287,0,1,0.05896847391884267,-0.04142461426971986
"Casey Opitz","CHC","MLB","CHC",-0.29441204237329677,1.3610602972144266,1.6554723395877233,3,2,1,0.6666666666666666,5.0833228203193075,2.36113126155244,2.722191558766867,0.4644857989570149,-0.3611312615524403,-1.7221915587668668,0,0,0.031186029572511088,-0.012781121597050965,3,1,2,0.3333333333333333,4.548735104571131,0.9466313824917032,3.6021037220794265,0.2081087073064358,0.05336861750829691,-1.6021037220794265,0,0,0.06064980139428175,-0.02064980139428175
